Letter,Language,Frequency (%)
j,Polish,2.28
j,Portuguese,0.4
j,Spanish,0.49
j,Swedish,1.01
j,Turkish,0.03
k,Czech,3.29
k,Danish,3.4
k,Dutch,2.25
k,English,1.17
k,Esperanto,4.16
k,Finnish,5.37
k,French,0.07
k,German,1.42
k,Icelandic,3.31
k,Italian,0.01
k,Polish,3.51
k,Portuguese,0.02
k,Spanish,0.01
k,Swedish,3.14
k,Turkish,5.08
l,Czech,3.8
l,Danish,5.23
l,Dutch,3.57
l,English,4.03
l,Esperanto,6.1
l,Finnish,6.16
l,French,5.46
l,German,3.44
l,Icelandic,4.53
l,Italian,6.51
l,Polish,2.1
l,Portuguese,3.18
l,Spanish,5.37
l,Swedish,5.28
l,Turkish,6.32
m,Czech,2.45
m,Danish,3.24
m,Dutch,2.21
m,English,2.41
m,Esperanto,3.39
m,Finnish,3.2
m,French,3.37
m,German,2.53
m,Icelandic,4.04
m,Italian,2.51
m,Polish,2.8
m,Portuguese,5.14
m,Spanish,3.16
m,Swedish,3.47
m,Turkish,4.15
n,Czech,6.47
n,Danish,7.24
n,Dutch,10.03
n,English,7.15
n,Esperanto,8.36
n,Finnish,9.23
n,French,7.1
n,German,10.18
n,Icelandic,8.11
n,Italian,7.28
n,Polish,5.52
n,Portuguese,4.45
n,Spanish,7.11
n,Swedish,8.54
n,Turkish,7.49
o,Czech,6.7
o,Danish,5.04
o,Dutch,6.06
o,English,7.51
o,Esperanto,9.18
o,Finnish,6.01
o,French,5.8
o,German,2.59
o,Icelandic,2.17
o,Italian,10.23
o,Polish,8.15
o,Portuguese,10.14
o,Spanish,9.08
o,Swedish,4.48
o,Turkish,2.48
p,Czech,2.31
p,Danish,2.16
p,Dutch,1.57
p,English,2.33
p,Esperanto,3.16
p,Finnish,2.24
p,French,2.52
p,German,1.07
p,Icelandic,1.19
p,Italian,3.06
p,Polish,3.13
p,Portuguese,2.52
p,Spanish,2.51
p,Swedish,2.24
p,Turkish,1.29
q,Czech,0
q,Danish,0.01
q,Dutch,0.01
q,English,0.1
q,Esperanto,0
q,Finnish,0.01
q,French,1.36
q,German,0.02
q,Icelandic,0
q,Italian,0.51
q,Polish,0.14
q,Portuguese,1.2
q,Spanish,1.28
q,Swedish,0.02
q,Turkish,0
r,Czech,4.8
r,Danish,9.36
r,Dutch,6.41
r,English,6.39
r,Esperanto,6.31
r,Finnish,3.27
r,French,7.09
r,German,7
r,Icelandic,8.58
r,Italian,6.37
r,Polish,5.09
r,Portuguese,6.53
r,Spanish,7.27
r,Swedish,8.43
r,Turkish,7.12
s,Czech,5.21
s,Danish,6.21
s,Dutch,4.13
s,English,6.33
s,Esperanto,6.09
s,Finnish,8.26
s,French,8.35
s,German,7.27
s,Icelandic,6.03
s,Italian,5.38
s,Polish,4.32
s,Portuguese,7.21
s,Spanish,8.38
s,Swedish,6.59
s,Turkish,3.01
t,Czech,6.13
t,Danish,7.26
t,Dutch,7.19
t,English,9.06
t,Esperanto,5.28
t,Finnish,9.15
t,French,7.24
t,German,6.15
t,Icelandic,5.35
t,Italian,6.02
t,Polish,4.38
t,Portuguese,4.34
t,Spanish,5.03
t,Swedish,8.09
t,Turkish,3.31
u,Czech,2.16
u,Danish,2.38
u,Dutch,2.39
u,English,3.16
u,Esperanto,3.18
u,Finnish,5.01
u,French,6.31
u,German,4.17
u,Icelandic,4.56
u,Italian,3.01
u,Polish,2.5
u,Portuguese,4.04
u,Spanish,3.33
u,Swedish,2.32
u,Turkish,3.24
v,Czech,5.34
v,Danish,2.33
v,Dutch,3.25
v,English,1.38
v,Esperanto,1.9
v,Finnish,2.25
v,French,2.24
v,German,1.25
v,Icelandic,2.44
v,Italian,2.1
v,Polish,0.04
v,Portuguese,1.58
v,Spanish,1.14
v,Swedish,2.42
v,Turkish,1.36
w,Czech,0.02
w,Danish,0.07
w,Dutch,1.52
w,English,2.36
w,Esperanto,0
w,Finnish,0.09
w,French,0.05
w,German,2.32
w,Icelandic,0
w,Italian,0.03
w,Polish,5.05
w,Portuguese,0.04
w,Spanish,0.02
w,Swedish,0.14
w,Turkish,0
x,Czech,0.03
x,Danish,0.03
x,Dutch,0.04
x,English,0.15
x,Esperanto,0
x,Finnish,0.03
x,French,0.43
x,German,0.03
x,Icelandic,0.05
x,Italian,0
x,Polish,0.02
x,Portuguese,0.25
x,Spanish,0.22
x,Swedish,0.16
x,Turkish,0
y,Czech,1.04
y,Danish,0.7
y,Dutch,0.04
y,English,2.37
y,Esperanto,0
y,Finnish,2.15
y,French,0.13
y,German,0.04
y,Icelandic,0.9
y,Italian,0.02
y,Polish,4.16
y,Portuguese,0.01
y,Spanish,1.01
y,Swedish,1.11
y,Turkish,3.34
z,Czech,1.5
z,Danish,0.03
z,Dutch,1.39
z,English,0.07
z,Esperanto,0.49
z,Finnish,0.05
z,French,0.33
z,German,1.13
z,Icelandic,0
z,Italian,1.18
z,Polish,6.04
z,Portuguese,0.47
z,Spanish,0.47
z,Swedish,0.07
z,Turkish,1.5
