Election_Type,State_Name,Assembly_No,Constituency_No,Candidate,Gender,Party,Votes,Winner,Constituency_Name,Idx,Party_Type,Party_Expanded,NumberOfSeats,ElectorsTotal,ElectorsWhoVoted,VotesValid,PollingDate,Year,Runner up.PARTY,Runner up.CANDIDATE,Runner up.VOTES,Winner 1.PARTY,Winner 1.CANDIDATE,Winner 1.VOTES,Winner 2.PARTY,Winner 2.CANDIDATE,Winner 2.VOTES,Winner 3.PARTY,Winner 3.CANDIDATE,Winner 3.VOTES
AE,Ajmer,1,1,TARAN SINGH,M,IND,47.0,False,AJMER- I (SOUTH WEST) ,13,INDEPENDENTS,INDEPENDENT,2,22111,25618,25618,27/03/52,1952,,,,PP,ARJANDAS,5549.0,PP,PARASRAM,4672.0,,,
AE,Ajmer,1,2,BAL KRISHNA KAUL,M,INC,5251.0,True,AJMER - I I (EAST) ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,HARJIT LAL,M,INC,4918.0,True,AJMER - I I (EAST) ,2,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,NATHU SINGH,M,IND,4802.0,False,AJMER - I I (EAST) ,3,INDEPENDENTS,INDEPENDENT,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,KISHAN LAL,M,BJS,3126.0,False,AJMER - I I (EAST) ,4,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,SUKH LAL,M,BJS,1363.0,False,AJMER - I I (EAST) ,5,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,DOONG SINGH,M,IND,1270.0,False,AJMER - I I (EAST) ,6,INDEPENDENTS,INDEPENDENT,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,RAM PAL,M,IND,962.0,False,AJMER - I I (EAST) ,7,INDEPENDENTS,INDEPENDENT,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,V . T . BIJLANI,M,PP,793.0,False,AJMER - I I (EAST) ,8,STATE PARTIES,PURSHARATHI PANCHAYAT,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,H . K . PRIM,M,IND,724.0,False,AJMER - I I (EAST) ,9,INDEPENDENTS,INDEPENDENT,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,LAKSHMAN SINGH,M,IND,479.0,False,AJMER - I I (EAST) ,10,INDEPENDENTS,INDEPENDENT,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,NITYA NAND,M,IND,318.0,False,AJMER - I I (EAST) ,11,INDEPENDENTS,INDEPENDENT,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,RAM SINGH,M,IND,247.0,False,AJMER - I I (EAST) ,12,INDEPENDENTS,INDEPENDENT,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,2,VISHAN LAL,M,IND,227.0,False,AJMER - I I (EAST) ,13,INDEPENDENTS,INDEPENDENT,2,22258,24480,24480,27/03/52,1952,,,,INC,BAL KRISHNA KAUL,5251.0,INC,HARJIT LAL,4918.0,,,
AE,Ajmer,1,3,RAMESH CHANDRA,M,INC,3207.0,True,AJMER - I I I (KALA BAGH) ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,12529,6988,6988,27/03/52,1952,BJS,DAYASHANKAR,2439.0,INC,RAMESH CHANDRA,3207.0,,,,,,
AE,Ajmer,1,3,DAYASHANKAR,M,BJS,2439.0,False,AJMER - I I I (KALA BAGH) ,2,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,1,12529,6988,6988,27/03/52,1952,BJS,DAYASHANKAR,2439.0,INC,RAMESH CHANDRA,3207.0,,,,,,
AE,Ajmer,1,3,GUMANMAL,M,IND,1155.0,False,AJMER - I I I (KALA BAGH) ,3,INDEPENDENTS,INDEPENDENT,1,12529,6988,6988,27/03/52,1952,BJS,DAYASHANKAR,2439.0,INC,RAMESH CHANDRA,3207.0,,,,,,
AE,Ajmer,1,3,ISWAR SINGH,M,IND,149.0,False,AJMER - I I I (KALA BAGH) ,4,INDEPENDENTS,INDEPENDENT,1,12529,6988,6988,27/03/52,1952,BJS,DAYASHANKAR,2439.0,INC,RAMESH CHANDRA,3207.0,,,,,,
AE,Ajmer,1,3,O . K . SAXENA,M,IND,38.0,False,AJMER - I I I (KALA BAGH) ,5,INDEPENDENTS,INDEPENDENT,1,12529,6988,6988,27/03/52,1952,BJS,DAYASHANKAR,2439.0,INC,RAMESH CHANDRA,3207.0,,,,,,
AE,Ajmer,1,4,BHIMAN DAS,M,PP,3017.0,True,AJMER - IV (TOWN HALL) ,1,STATE PARTIES,PURSHARATHI PANCHAYAT,1,9574,7031,7031,27/03/52,1952,INC,DEO DUTTA,2196.0,PP,BHIMAN DAS,3017.0,,,,,,
AE,Ajmer,1,4,DEO DUTTA,M,INC,2196.0,False,AJMER - IV (TOWN HALL) ,2,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,9574,7031,7031,27/03/52,1952,INC,DEO DUTTA,2196.0,PP,BHIMAN DAS,3017.0,,,,,,
AE,Ajmer,1,4,JETHANAND,M,BJS,1212.0,False,AJMER - IV (TOWN HALL) ,3,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,1,9574,7031,7031,27/03/52,1952,INC,DEO DUTTA,2196.0,PP,BHIMAN DAS,3017.0,,,,,,
AE,Ajmer,1,4,AMRIT KUMAR,M,IND,450.0,False,AJMER - IV (TOWN HALL) ,4,INDEPENDENTS,INDEPENDENT,1,9574,7031,7031,27/03/52,1952,INC,DEO DUTTA,2196.0,PP,BHIMAN DAS,3017.0,,,,,,
AE,Ajmer,1,4,SURESH CHANDRA,M,IND,81.0,False,AJMER - IV (TOWN HALL) ,5,INDEPENDENTS,INDEPENDENT,1,9574,7031,7031,27/03/52,1952,INC,DEO DUTTA,2196.0,PP,BHIMAN DAS,3017.0,,,,,,
AE,Ajmer,1,4,SRI KARAN,M,IND,39.0,False,AJMER - IV (TOWN HALL) ,6,INDEPENDENTS,INDEPENDENT,1,9574,7031,7031,27/03/52,1952,INC,DEO DUTTA,2196.0,PP,BHIMAN DAS,3017.0,,,,,,
AE,Ajmer,1,4,NEBHAN DAS,M,IND,36.0,False,AJMER - IV (TOWN HALL) ,7,INDEPENDENTS,INDEPENDENT,1,9574,7031,7031,27/03/52,1952,INC,DEO DUTTA,2196.0,PP,BHIMAN DAS,3017.0,,,,,,
AE,Ajmer,1,5,AMBALAL,M,BJS,3519.0,True,AJMER - V (NAYA BAZAR) ,1,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,1,11467,7063,7063,27/03/52,1952,INC,PRATAPCHAND,2139.0,BJS,AMBALAL,3519.0,,,,,,
AE,Ajmer,1,5,PRATAPCHAND,M,INC,2139.0,False,AJMER - V (NAYA BAZAR) ,2,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,11467,7063,7063,27/03/52,1952,INC,PRATAPCHAND,2139.0,BJS,AMBALAL,3519.0,,,,,,
AE,Ajmer,1,5,SOBHRAJ,M,IND,1206.0,False,AJMER - V (NAYA BAZAR) ,3,INDEPENDENTS,INDEPENDENT,1,11467,7063,7063,27/03/52,1952,INC,PRATAPCHAND,2139.0,BJS,AMBALAL,3519.0,,,,,,
AE,Ajmer,1,5,HARUMAL,M,PP,199.0,False,AJMER - V (NAYA BAZAR) ,4,STATE PARTIES,PURSHARATHI PANCHAYAT,1,11467,7063,7063,27/03/52,1952,INC,PRATAPCHAND,2139.0,BJS,AMBALAL,3519.0,,,,,,
AE,Ajmer,1,6,SYED ABBAS ALI,M,INC,2872.0,True,AJMER - VI (DHALDIN KA JHOPRA) ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,12023,7500,7500,27/03/52,1952,IND,KISHAN GURNANI,2004.0,INC,SYED ABBAS ALI,2872.0,,,,,,
AE,Ajmer,1,6,KISHAN GURNANI,M,IND,2004.0,False,AJMER - VI (DHALDIN KA JHOPRA) ,2,INDEPENDENTS,INDEPENDENT,1,12023,7500,7500,27/03/52,1952,IND,KISHAN GURNANI,2004.0,INC,SYED ABBAS ALI,2872.0,,,,,,
AE,Ajmer,1,6,POHUMAL,M,PP,1551.0,False,AJMER - VI (DHALDIN KA JHOPRA) ,3,STATE PARTIES,PURSHARATHI PANCHAYAT,1,12023,7500,7500,27/03/52,1952,IND,KISHAN GURNANI,2004.0,INC,SYED ABBAS ALI,2872.0,,,,,,
AE,Ajmer,1,6,CHOTEY LAL,M,IND,806.0,False,AJMER - VI (DHALDIN KA JHOPRA) ,4,INDEPENDENTS,INDEPENDENT,1,12023,7500,7500,27/03/52,1952,IND,KISHAN GURNANI,2004.0,INC,SYED ABBAS ALI,2872.0,,,,,,
AE,Ajmer,1,6,MOHD. HUSAIN CHISTY,M,IND,198.0,False,AJMER - VI (DHALDIN KA JHOPRA) ,5,INDEPENDENTS,INDEPENDENT,1,12023,7500,7500,27/03/52,1952,IND,KISHAN GURNANI,2004.0,INC,SYED ABBAS ALI,2872.0,,,,,,
AE,Ajmer,1,6,MANMAL,M,IND,69.0,False,AJMER - VI (DHALDIN KA JHOPRA) ,6,INDEPENDENTS,INDEPENDENT,1,12023,7500,7500,27/03/52,1952,IND,KISHAN GURNANI,2004.0,INC,SYED ABBAS ALI,2872.0,,,,,,
AE,Ajmer,1,7,HARI BHAO UPADHAYA,M,INC,3779.0,True,SHRINAGAR ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,11191,5552,5552,27/03/52,1952,BJS,KISTUR CHAND,1148.0,INC,HARI BHAO UPADHAYA,3779.0,,,,,,
AE,Ajmer,1,7,KISTUR CHAND,M,BJS,1148.0,False,SHRINAGAR ,2,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,1,11191,5552,5552,27/03/52,1952,BJS,KISTUR CHAND,1148.0,INC,HARI BHAO UPADHAYA,3779.0,,,,,,
AE,Ajmer,1,7,SHIV RAM,M,IND,413.0,False,SHRINAGAR ,3,INDEPENDENTS,INDEPENDENT,1,11191,5552,5552,27/03/52,1952,BJS,KISTUR CHAND,1148.0,INC,HARI BHAO UPADHAYA,3779.0,,,,,,
AE,Ajmer,1,7,CHOGA,M,IND,212.0,False,SHRINAGAR ,4,INDEPENDENTS,INDEPENDENT,1,11191,5552,5552,27/03/52,1952,BJS,KISTUR CHAND,1148.0,INC,HARI BHAO UPADHAYA,3779.0,,,,,,
AE,Ajmer,1,8,HIMMAT ALI,M,INC,4756.0,True,DERATHU ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,11556,6731,6731,27/03/52,1952,IND,HAZARI,924.0,INC,HIMMAT ALI,4756.0,,,,,,
AE,Ajmer,1,8,HAZARI,M,IND,924.0,False,DERATHU ,2,INDEPENDENTS,INDEPENDENT,1,11556,6731,6731,27/03/52,1952,IND,HAZARI,924.0,INC,HIMMAT ALI,4756.0,,,,,,
AE,Ajmer,1,8,BHAGWATI PRASAD,M,BJS,880.0,False,DERATHU ,3,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,1,11556,6731,6731,27/03/52,1952,IND,HAZARI,924.0,INC,HIMMAT ALI,4756.0,,,,,,
AE,Ajmer,1,8,IFTIKAR ALI,M,IND,171.0,False,DERATHU ,4,INDEPENDENTS,INDEPENDENT,1,11556,6731,6731,27/03/52,1952,IND,HAZARI,924.0,INC,HIMMAT ALI,4756.0,,,,,,
AE,Ajmer,1,9,BHAGIRATH SINGH,M,INC,5131.0,True,JETHANA ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,18576,17246,17246,27/03/52,1952,,,,INC,BHAGIRATH SINGH,5131.0,INC,NARAYAN,2968.0,,,
AE,Ajmer,1,9,NARAYAN,M,INC,2968.0,True,JETHANA ,2,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,18576,17246,17246,27/03/52,1952,,,,INC,BHAGIRATH SINGH,5131.0,INC,NARAYAN,2968.0,,,
AE,Ajmer,1,9,HAZARI LAL,M,IND,1989.0,False,JETHANA ,3,INDEPENDENTS,INDEPENDENT,2,18576,17246,17246,27/03/52,1952,,,,INC,BHAGIRATH SINGH,5131.0,INC,NARAYAN,2968.0,,,
AE,Ajmer,1,9,BALMUKAND,M,BJS,1827.0,False,JETHANA ,4,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,2,18576,17246,17246,27/03/52,1952,,,,INC,BHAGIRATH SINGH,5131.0,INC,NARAYAN,2968.0,,,
AE,Ajmer,1,9,BHIKAM CHAND,M,BJS,1769.0,False,JETHANA ,5,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,2,18576,17246,17246,27/03/52,1952,,,,INC,BHAGIRATH SINGH,5131.0,INC,NARAYAN,2968.0,,,
AE,Ajmer,1,9,SUGAN CHAND,M,IND,1759.0,False,JETHANA ,6,INDEPENDENTS,INDEPENDENT,2,18576,17246,17246,27/03/52,1952,,,,INC,BHAGIRATH SINGH,5131.0,INC,NARAYAN,2968.0,,,
AE,Ajmer,1,9,SAWAI,M,IND,1105.0,False,JETHANA ,7,INDEPENDENTS,INDEPENDENT,2,18576,17246,17246,27/03/52,1952,,,,INC,BHAGIRATH SINGH,5131.0,INC,NARAYAN,2968.0,,,
AE,Ajmer,1,9,KESHAV SEN,M,IND,413.0,False,JETHANA ,8,INDEPENDENTS,INDEPENDENT,2,18576,17246,17246,27/03/52,1952,,,,INC,BHAGIRATH SINGH,5131.0,INC,NARAYAN,2968.0,,,
AE,Ajmer,1,9,PANNALAL,M,IND,285.0,False,JETHANA ,9,INDEPENDENTS,INDEPENDENT,2,18576,17246,17246,27/03/52,1952,,,,INC,BHAGIRATH SINGH,5131.0,INC,NARAYAN,2968.0,,,
AE,Ajmer,1,10,JAI NARAIN,M,INC,3058.0,True,PUSHKER SOUTH ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,10265,6013,6013,27/03/52,1952,BJS,KARAN SINGH,2615.0,INC,JAI NARAIN,3058.0,,,,,,
AE,Ajmer,1,10,KARAN SINGH,M,BJS,2615.0,False,PUSHKER SOUTH ,2,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,1,10265,6013,6013,27/03/52,1952,BJS,KARAN SINGH,2615.0,INC,JAI NARAIN,3058.0,,,,,,
AE,Ajmer,1,10,SAHESHKARAN MAN,M,IND,198.0,False,PUSHKER SOUTH ,3,INDEPENDENTS,INDEPENDENT,1,10265,6013,6013,27/03/52,1952,BJS,KARAN SINGH,2615.0,INC,JAI NARAIN,3058.0,,,,,,
AE,Ajmer,1,10,PANNALA,M,IND,142.0,False,PUSHKER SOUTH ,4,INDEPENDENTS,INDEPENDENT,1,10265,6013,6013,27/03/52,1952,BJS,KARAN SINGH,2615.0,INC,JAI NARAIN,3058.0,,,,,,
AE,Ajmer,1,11,SHIV NARAYAN SINGH,M,INC,2484.0,True,PUSHKER NORTH ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,10689,6641,6641,27/03/52,1952,IND,ONKAR SINGH,1493.0,INC,SHIV NARAYAN SINGH,2484.0,,,,,,
AE,Ajmer,1,11,ONKAR SINGH,M,IND,1493.0,False,PUSHKER NORTH ,2,INDEPENDENTS,INDEPENDENT,1,10689,6641,6641,27/03/52,1952,IND,ONKAR SINGH,1493.0,INC,SHIV NARAYAN SINGH,2484.0,,,,,,
AE,Ajmer,1,11,CHITAR MAL,M,IND,1482.0,False,PUSHKER NORTH ,3,INDEPENDENTS,INDEPENDENT,1,10689,6641,6641,27/03/52,1952,IND,ONKAR SINGH,1493.0,INC,SHIV NARAYAN SINGH,2484.0,,,,,,
AE,Ajmer,1,11,AMARCHAND,M,IND,555.0,False,PUSHKER NORTH ,4,INDEPENDENTS,INDEPENDENT,1,10689,6641,6641,27/03/52,1952,IND,ONKAR SINGH,1493.0,INC,SHIV NARAYAN SINGH,2484.0,,,,,,
AE,Ajmer,1,11,MOOL CHAND,M,IND,258.0,False,PUSHKER NORTH ,5,INDEPENDENTS,INDEPENDENT,1,10689,6641,6641,27/03/52,1952,IND,ONKAR SINGH,1493.0,INC,SHIV NARAYAN SINGH,2484.0,,,,,,
AE,Ajmer,1,11,HAZARI LAL,M,IND,185.0,False,PUSHKER NORTH ,6,INDEPENDENTS,INDEPENDENT,1,10689,6641,6641,27/03/52,1952,IND,ONKAR SINGH,1493.0,INC,SHIV NARAYAN SINGH,2484.0,,,,,,
AE,Ajmer,1,11,MANAK CHAND,M,IND,184.0,False,PUSHKER NORTH ,7,INDEPENDENTS,INDEPENDENT,1,10689,6641,6641,27/03/52,1952,IND,ONKAR SINGH,1493.0,INC,SHIV NARAYAN SINGH,2484.0,,,,,,
AE,Ajmer,1,12,KISHAN LAL LAMROR,M,INC,2980.0,True,GAGWANA ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,10088,6027,6027,27/03/52,1952,IND,KHEMA,2696.0,INC,KISHAN LAL LAMROR,2980.0,,,,,,
AE,Ajmer,1,12,KHEMA,M,IND,2696.0,False,GAGWANA ,2,INDEPENDENTS,INDEPENDENT,1,10088,6027,6027,27/03/52,1952,IND,KHEMA,2696.0,INC,KISHAN LAL LAMROR,2980.0,,,,,,
AE,Ajmer,1,12,HARDAYAL,M,BJS,351.0,False,GAGWANA ,3,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,1,10088,6027,6027,27/03/52,1952,IND,KHEMA,2696.0,INC,KISHAN LAL LAMROR,2980.0,,,,,,
AE,Ajmer,1,13,LAXMINARYAN,M,INC,5068.0,True,NASIRABAD ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,23521,18838,18838,27/03/52,1952,,,,INC,LAXMINARYAN,5068.0,IND,MAHENDRA SINGH,5064.0,,,
AE,Ajmer,1,13,MAHENDRA SINGH,M,IND,5064.0,True,NASIRABAD ,2,INDEPENDENTS,INDEPENDENT,2,23521,18838,18838,27/03/52,1952,,,,INC,LAXMINARYAN,5068.0,IND,MAHENDRA SINGH,5064.0,,,
AE,Ajmer,1,13,BHURALAL,M,INC,4709.0,False,NASIRABAD ,3,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,23521,18838,18838,27/03/52,1952,,,,INC,LAXMINARYAN,5068.0,IND,MAHENDRA SINGH,5064.0,,,
AE,Ajmer,1,13,PURAN MAL,M,IND,3666.0,False,NASIRABAD ,4,INDEPENDENTS,INDEPENDENT,2,23521,18838,18838,27/03/52,1952,,,,INC,LAXMINARYAN,5068.0,IND,MAHENDRA SINGH,5064.0,,,
AE,Ajmer,1,13,RAMJILAL,M,SP,331.0,False,NASIRABAD ,5,NATIONAL PARTIES,SOCIALIST PARTY,2,23521,18838,18838,27/03/52,1952,,,,INC,LAXMINARYAN,5068.0,IND,MAHENDRA SINGH,5064.0,,,
AE,Ajmer,1,14,KALYAN SINGH,M,BJS,3164.0,True,BHINAI ,1,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,1,10876,6134,6134,27/03/52,1952,INC,MADAN SINGH,2970.0,BJS,KALYAN SINGH,3164.0,,,,,,
AE,Ajmer,1,14,MADAN SINGH,M,INC,2970.0,False,BHINAI ,2,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,10876,6134,6134,27/03/52,1952,INC,MADAN SINGH,2970.0,BJS,KALYAN SINGH,3164.0,,,,,,
AE,Ajmer,1,15,CHAGAN LAL,M,INC,3353.0,True,DEOLIA KALAN ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,11517,4880,4880,27/03/52,1952,BJS,ONKAR SINGH,1013.0,INC,CHAGAN LAL,3353.0,,,,,,
AE,Ajmer,1,15,ONKAR SINGH,M,BJS,1013.0,False,DEOLIA KALAN ,2,NATIONAL PARTIES,ALL INDIA BHARTIYA JAN SANGH,1,11517,4880,4880,27/03/52,1952,BJS,ONKAR SINGH,1013.0,INC,CHAGAN LAL,3353.0,,,,,,
AE,Ajmer,1,15,BALWANT RAI,M,IND,312.0,False,DEOLIA KALAN ,3,INDEPENDENTS,INDEPENDENT,1,11517,4880,4880,27/03/52,1952,BJS,ONKAR SINGH,1013.0,INC,CHAGAN LAL,3353.0,,,,,,
AE,Ajmer,1,15,MADAN SINGH,M,IND,202.0,False,DEOLIA KALAN ,4,INDEPENDENTS,INDEPENDENT,1,11517,4880,4880,27/03/52,1952,BJS,ONKAR SINGH,1013.0,INC,CHAGAN LAL,3353.0,,,,,,
AE,Ajmer,1,16,LAXMAN SINGH,M,IND,5192.0,True,SAWAR ,1,INDEPENDENTS,INDEPENDENT,1,11353,7281,7281,27/03/52,1952,INC,DEOKI BALLABH,1863.0,IND,LAXMAN SINGH,5192.0,,,,,,
AE,Ajmer,1,16,DEOKI BALLABH,M,INC,1863.0,False,SAWAR ,2,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,1,11353,7281,7281,27/03/52,1952,INC,DEOKI BALLABH,1863.0,IND,LAXMAN SINGH,5192.0,,,,,,
AE,Ajmer,1,16,RAGHUBIR SINGH,M,IND,226.0,False,SAWAR ,3,INDEPENDENTS,INDEPENDENT,1,11353,7281,7281,27/03/52,1952,INC,DEOKI BALLABH,1863.0,IND,LAXMAN SINGH,5192.0,,,,,,
AE,Ajmer,1,17,JETHMAL,M,INC,6596.0,True,KEKRI ,1,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,24193,20981,20981,27/03/52,1952,,,,INC,JETHMAL,6596.0,INC,SEWADAS,4192.0,,,
AE,Ajmer,1,17,SEWADAS,M,INC,4192.0,True,KEKRI ,2,NATIONAL PARTIES,INDIAN NATIONAL CONGRESS,2,24193,20981,20981,27/03/52,1952,,,,INC,JETHMAL,6596.0,INC,SEWADAS,4192.0,,,
AE,Ajmer,1,17,MAHENDRALAL,M,IND,2744.0,False,KEKRI ,3,INDEPENDENTS,INDEPENDENT,2,24193,20981,20981,27/03/52,1952,,,,INC,JETHMAL,6596.0,INC,SEWADAS,4192.0,,,
AE,Ajmer,1,17,KANMAL,M,IND,2105.0,False,KEKRI ,4,INDEPENDENTS,INDEPENDENT,2,24193,20981,20981,27/03/52,1952,,,,INC,JETHMAL,6596.0,INC,SEWADAS,4192.0,,,
AE,Ajmer,1,17,GODA,M,IND,1345.0,False,KEKRI ,5,INDEPENDENTS,INDEPENDENT,2,24193,20981,20981,27/03/52,1952,,,,INC,JETHMAL,6596.0,INC,SEWADAS,4192.0,,,
AE,Ajmer,1,17,HATHI RAM,M,IND,1070.0,False,KEKRI ,6,INDEPENDENTS,INDEPENDENT,2,24193,20981,20981,27/03/52,1952,,,,INC,JETHMAL,6596.0,INC,SEWADAS,4192.0,,,
