Name,Court,Position,Biodata,DOB,City_Village_Birth,District_Birth,State_Birth,Start_Date_Appointment,End_Date_Appointment,Reason_Leaving_Appointment,Sex_Source,Sex,ID,Source_of_Recruitment,Enrollment_Year,LLB_Institutition,Other_Bachelors_Institution,Other_Bachelors_Degree,Other_Masters_Degree,Other_Masters_Institution,LLM_Institutition,PhD_Instituition,PhD_Subject,Processed_Name_For_Merges,Image,Duplicated_Jud
"ABHAY AHUJA, J.",Bombay High Court,Judge,"Born on 24th August, 1969. Graduated in Science from Jai Hind College, Mumbai in the year 1989 and joined Government Law College, Mumbai for the Bachelor of Laws course. After completing LL.B, enrolled as an Advocate with the Bar Council of Maharashtra & Goa in August 1992. Completed Masters in Commercial Laws (LL.M) from the University Department of Law, University of Mumbai in the year 1994. Qualified as a Solicitor in India in the year 1995, as Solicitor, Supreme Court of England & Wales in the year 1999 and enrolled as Advocate-on-Record, Supreme Court of India in the year 2000. Has practiced primarily in commercial, corporate, property and taxation laws, representing/advising the Government, its departments, PSUs, banks, corporates and individuals in matters/disputes before the Supreme Court, Bombay High Court, Delhi High Court, Bombay City Civil and Sessions Court, the erstwhile Company Law Boards, National Company Law Tribunal, Income Tax Appellate Tribunal, Securities Appellate Tribunal, the Debt Recovery Tribunals, the Consumer Disputes Redressal Commissions and other local courts and tribunals in India. Was appointed as Senior Standing Counsel by the Income Tax Department in the year 2008, as Senior Panel Counsel, Group I, by the Government of India in the year 2015 and as Senior Panel Counsel by the Insolvency & Bankruptcy Board of India in 2018 representing the Government in many important matters till his elevation as Judge of the Bombay High Court on March 4, 2020.",24.08.1969,,,,04.03.2020,03.03.2022,,,M,1222,,1992,"Government Law College, Bombay","Jai Hind College, Mumbai",B. Sc.,,,"University Department of Law, University of Mumbai",,,"ABHAY AHUJA, J.",,
Abhayapda Mukherji,Patna High Court,Judge,,,,,,,,,,M,3195,,,,,,,,,,,ABHAYAPDA MUKHERJI,,
Abhijit Sinha,Patna High Court,Judge,,,,,,03.11.2008,,,,M,3196,,,,,,,,,,,ABHIJIT SINHA,,
Abhiram Singh,Patna High Court,Judge,,,,,,18.11.1982,02.03.1988,,,M,3197,,,,,,,,,,,ABHIRAM SINGH,,
Achalendra Nath Mukherji,Patna High Court,Judge,,,,,,06.04.1970,01.08.1975,,,M,3198,,,,,,,,,,,ACHALENDRA NATH MUKHERJI,,
Adarsh Sein Anand,Madras High Court,Chief Justice,,,,,,,,,,M,1321,,,,,,,,,,,ADARSH SEIN ANAND,,
Aditya Kumar Trivedi,Patna High Court,Judge,,,,,,20.06.2011,10.08.2020,,,M,3199,,,,,,,,,,,ADITYA KUMAR TRIVEDI,,
Aditya Narayan Chaturvedi,Patna High Court,Judge,,,,,,18.09.1991,18.01.1997,,,M,3200,,,,,,,,,,,ADITYA NARAYAN CHATURVEDI,,
Aftab Alam,Patna High Court,Judge,,,,,,27.07.1990,18.04.2013,,,M,1251,,,,,,,,,,,AFTAB ALAM,,
Ahmad Saiyid Anwar,Patna High Court,Judge,,,,,,08.11.1965,28.02.1975,,,M,3202,,,,,,,,,,,AHMAD SAIYID ANWAR,,
Ajit Prakash Shah,Madras High Court,Chief Justice,,,,,,,,,,M,4662,,,,,,,,,,,AJIT PRAKASH SHAH,,
Akhilesh Chandra,Patna High Court,Judge,,,,,,15.03.2010,15.03.2015,,,M,3203,,,,,,,,,,,AKHILESH CHANDRA,,
Akil Kureshi,Gujarat High Court,Additional Judge,"Hon'ble Mr. Justice Akil Kureshi Date Of Birth : 07.03.1960 Educational Qualification :B.Sc., LL.B. Enrolment as Advocate : 1983Elevation as High Court Judge 07.03.2004 Chief Justice Rajasthan High Court :12.10.2021 Born on 7th March 1960. Passed B.Sc. Mathematics in 1980 and LL.B. in 1983. Joined the Bar and started legal practice from the month of July, 1983. Appointed as Additional Central Government Standing Counsel from March 1992 to March, 1998. Appointed as Additional Counsel for the Income-tax Department in January, 2000 and represented Income Tax Department in the Gujarat High Court upto December, 2001. Appointed as Additional Judge of the High Court of Gujarat on 7th March, 2004. Took oath as permanent Judge on 12th August, 2005.Appointed as Acting Chief Justice of the High Court of Gujarat w.e.f. 2nd November 2018. Took oath as a Judge in the High Court of Bombay on 14th November, 2018, on transfer. Took oath as the Chief Justice of the High Court of Tripura on 16th November, 2019. Took oath as the Chief Justice of the Rajasthan High Court on 12th October, 2021.",07.03.1960,,,,07.03.2004,12.08.2005,Transfer or Promotion,,M,1541,BAR,1983,Law (not given),,B. Sc. Mathematics,,,,,,AKIL KURESHI,https://hcraj.nic.in/hcraj/img/judges/akil-kureshi.jpg,FALSE
Akil Kureshi,Gujarat High Court,Judge,"Hon'ble Mr. Justice Akil Kureshi Date Of Birth : 07.03.1960 Educational Qualification :B.Sc., LL.B. Enrolment as Advocate : 1983Elevation as High Court Judge 07.03.2004 Chief Justice Rajasthan High Court :12.10.2021 Born on 7th March 1960. Passed B.Sc. Mathematics in 1980 and LL.B. in 1983. Joined the Bar and started legal practice from the month of July, 1983. Appointed as Additional Central Government Standing Counsel from March 1992 to March, 1998. Appointed as Additional Counsel for the Income-tax Department in January, 2000 and represented Income Tax Department in the Gujarat High Court upto December, 2001. Appointed as Additional Judge of the High Court of Gujarat on 7th March, 2004. Took oath as permanent Judge on 12th August, 2005.Appointed as Acting Chief Justice of the High Court of Gujarat w.e.f. 2nd November 2018. Took oath as a Judge in the High Court of Bombay on 14th November, 2018, on transfer. Took oath as the Chief Justice of the High Court of Tripura on 16th November, 2019. Took oath as the Chief Justice of the Rajasthan High Court on 12th October, 2021.",07.03.1960,,,,12.08.2005,02.11.2018,Temporary Position,,M,1541,BAR,1983,Law (not given),,B. Sc. Mathematics,,,,,,AKIL KURESHI,https://hcraj.nic.in/hcraj/img/judges/akil-kureshi.jpg,FALSE
Akil Kureshi,Gujarat High Court,Acting Chief Justice,"Hon'ble Mr. Justice Akil Kureshi Date Of Birth : 07.03.1960 Educational Qualification :B.Sc., LL.B. Enrolment as Advocate : 1983Elevation as High Court Judge 07.03.2004 Chief Justice Rajasthan High Court :12.10.2021 Born on 7th March 1960. Passed B.Sc. Mathematics in 1980 and LL.B. in 1983. Joined the Bar and started legal practice from the month of July, 1983. Appointed as Additional Central Government Standing Counsel from March 1992 to March, 1998. Appointed as Additional Counsel for the Income-tax Department in January, 2000 and represented Income Tax Department in the Gujarat High Court upto December, 2001. Appointed as Additional Judge of the High Court of Gujarat on 7th March, 2004. Took oath as permanent Judge on 12th August, 2005.Appointed as Acting Chief Justice of the High Court of Gujarat w.e.f. 2nd November 2018. Took oath as a Judge in the High Court of Bombay on 14th November, 2018, on transfer. Took oath as the Chief Justice of the High Court of Tripura on 16th November, 2019. Took oath as the Chief Justice of the Rajasthan High Court on 12th October, 2021.",07.03.1960,,,,02.11.2018,14.11.2018,Transfer or Promotion,,M,1541,BAR,1983,Law (not given),,B. Sc. Mathematics,,,,,,AKIL KURESHI,https://hcraj.nic.in/hcraj/img/judges/akil-kureshi.jpg,
Akil Kureshi,Bombay High Court,Judge,"Hon'ble Mr. Justice Akil Kureshi Date Of Birth : 07.03.1960 Educational Qualification :B.Sc., LL.B. Enrolment as Advocate : 1983Elevation as High Court Judge 07.03.2004 Chief Justice Rajasthan High Court :12.10.2021 Born on 7th March 1960. Passed B.Sc. Mathematics in 1980 and LL.B. in 1983. Joined the Bar and started legal practice from the month of July, 1983. Appointed as Additional Central Government Standing Counsel from March 1992 to March, 1998. Appointed as Additional Counsel for the Income-tax Department in January, 2000 and represented Income Tax Department in the Gujarat High Court upto December, 2001. Appointed as Additional Judge of the High Court of Gujarat on 7th March, 2004. Took oath as permanent Judge on 12th August, 2005.Appointed as Acting Chief Justice of the High Court of Gujarat w.e.f. 2nd November 2018. Took oath as a Judge in the High Court of Bombay on 14th November, 2018, on transfer. Took oath as the Chief Justice of the High Court of Tripura on 16th November, 2019. Took oath as the Chief Justice of the Rajasthan High Court on 12th October, 2021.",07.03.1960,,,,14.11.2018,16.11.2019,Transfer or Promotion,,M,1541,BAR,1983,Law (not given),,B. Sc. Mathematics,,,,,,AKIL KURESHI,https://hcraj.nic.in/hcraj/img/judges/akil-kureshi.jpg,FALSE
Akil Kureshi,Tripura High Court,Chief Justice,"Hon'ble Mr. Justice Akil Kureshi Date Of Birth : 07.03.1960 Educational Qualification :B.Sc., LL.B. Enrolment as Advocate : 1983Elevation as High Court Judge 07.03.2004 Chief Justice Rajasthan High Court :12.10.2021 Born on 7th March 1960. Passed B.Sc. Mathematics in 1980 and LL.B. in 1983. Joined the Bar and started legal practice from the month of July, 1983. Appointed as Additional Central Government Standing Counsel from March 1992 to March, 1998. Appointed as Additional Counsel for the Income-tax Department in January, 2000 and represented Income Tax Department in the Gujarat High Court upto December, 2001. Appointed as Additional Judge of the High Court of Gujarat on 7th March, 2004. Took oath as permanent Judge on 12th August, 2005.Appointed as Acting Chief Justice of the High Court of Gujarat w.e.f. 2nd November 2018. Took oath as a Judge in the High Court of Bombay on 14th November, 2018, on transfer. Took oath as the Chief Justice of the High Court of Tripura on 16th November, 2019. Took oath as the Chief Justice of the Rajasthan High Court on 12th October, 2021.",07.03.1960,,,,16.11.2019,12.10.2021,Transfer or Promotion,,M,1541,BAR,1983,Law (not given),,B. Sc. Mathematics,,,,,,AKIL KURESHI,https://hcraj.nic.in/hcraj/img/judges/akil-kureshi.jpg,FALSE
Akil Kureshi,Rajasthan High Court,Chief Justice,"Hon'ble Mr. Justice Akil Kureshi Date Of Birth : 07.03.1960 Educational Qualification :B.Sc., LL.B. Enrolment as Advocate : 1983Elevation as High Court Judge 07.03.2004 Chief Justice Rajasthan High Court :12.10.2021 Born on 7th March 1960. Passed B.Sc. Mathematics in 1980 and LL.B. in 1983. Joined the Bar and started legal practice from the month of July, 1983. Appointed as Additional Central Government Standing Counsel from March 1992 to March, 1998. Appointed as Additional Counsel for the Income-tax Department in January, 2000 and represented Income Tax Department in the Gujarat High Court upto December, 2001. Appointed as Additional Judge of the High Court of Gujarat on 7th March, 2004. Took oath as permanent Judge on 12th August, 2005.Appointed as Acting Chief Justice of the High Court of Gujarat w.e.f. 2nd November 2018. Took oath as a Judge in the High Court of Bombay on 14th November, 2018, on transfer. Took oath as the Chief Justice of the High Court of Tripura on 16th November, 2019. Took oath as the Chief Justice of the Rajasthan High Court on 12th October, 2021.",07.03.1960,,,,12.10.2021,,,,M,1541,BAR,1983,Law (not given),,B. Sc. Mathematics,,,,,,AKIL KURESHI,https://hcraj.nic.in/hcraj/img/judges/akil-kureshi.jpg,
Amaresh Kumar Lal,Patna High Court,Judge,,,,,,20.06.2011,,,,M,3204,,,,,,,,,,,AMARESH KUMAR LAL,,
Amir Das,Patna High Court,Judge,,,,,,02.12.1991,01.01.1996,,,M,3205,,,,,,,,,,,AMIR DAS,,
"AMIT B. BORKAR, J.",Bombay High Court,Additional Judge,"Born on 2nd January 1972. Did B.Sc in Electronics from Vivekananda College, Kolhapur and LL.B from Shahaji Law College, Kolhapur. Enrolled as an Advocate on 26th July 1994. Started practice before District Court, Kolhapur. In June 1997, started practice at the High Court of Judicature at Bombay. Practiced in Constitutional, Civil, General and Commercial laws, Tenancy, Land revenue, Town planning, Education, Service and Co-operative law matters. Was Panel Advocate to represent the High Court of Judicature at Bombay (Administrative Side). Was appointed as Amicus Curiae in various matters including Public Interest Litigations. Was Standing Counsel for the Maharashtra State Co-operative Election Authority. Was on the panel of the Union of India as a Panel-A Counsel. Was Counsel for various Educational Institutions like Maharashtra National Law University, Mumbai and Shivaji University. Takes avid interest and devotes substantial amount of time in reading books touching various subjects, other than law. Elevated as Additional Judge of the Bombay High Court on 14th January 2020.",02.01.1972,,,,14.01.2020,13.01.2022,,,M,1220,BAR,1994,"Shahaji Law College, Kolhapur","Vivekananda College, Kolhapur",B. Sc. Electronics,,,,,,"AMIT B. BORKAR, J.",,
Amreshwar Pratap Sahi,Madras High Court,Chief Justice,,,,,,,,,,M,4670,,,,,,,,,,,AMRESHWAR PRATAP SAHI,,
Anand Prasad Sinha,Patna High Court,Judge,,,,,,18.11.1982,10.09.1986,,,M,3206,,,,,,,,,,,ANAND PRASAD SINHA,,
Ananta Manohar Badar,Bombay High Court,Additional Judge,"Born on 10th August, 1961. Did B.Com. and LL.B. from G.S. College of Commerce and Economics, Nagpur and University College of Law, Nagpur, respectively. Enrolled as an Advocate on 30/09/1985. Started legal career by joining chambers of his father late Shri M.P. Badar, who was Government Pleader and Public Prosecutor at Nagpur Bench of Bombay High Court. Practiced at the Nagpur Bench of Bombay High Court. Also practiced at various Tribunals including Labour and Industrial Courts. Was appointed as Honorary Assistant to the Government Pleader in 1991 and thereafter as Assistant Government Pleader and Additional Public Prosecutor in the High Court of Judicature at Bombay, Nagpur Bench, from February, 1992 and October, 1994 respectively. Was Standing Counsel for Nagpur Improvement Trust, Nagpur Municipal Corporation, Forest Development Corporation of Maharashtra Limited and Western Coal Fields Limited. Joined Maharashtra Judicial Service as a directly recruited District Judge in November, 2000. Worked as the Additional District & Sessions Judge at Akola and Wardha, Member, Industrial Tribunal at Nagpur and the Principal District and Sessions Judge at Pune. Also worked in the Registry of Bombay High Court as the Registrar Vigilance. Worked as Principal Secretary, Law and Judiciary Department, State of Maharashtra from December 2013 till elevation as Additional Judge of Bombay High Court on 3rd March, 2014. Transferred to Kerala High Court in May, 2020, and then to the Patna High Court on 20th October, 2021.",10.08.1961,,,,03.03.2014,,,M,M,3442,SERVICE,1985,"University College of Law, Nagpur","G.S. College of Commerce and Economics, Nagpur",B. Com.,,,,,,ANANTA MANOHAR BADAR,http://patnahighcourt.gov.in/ImageHandler.aspx?ID=MzQ2-LQBiPi0nmQo%3d,
Ananta Manohar Badar,Kerala High Court,Judge,"Born on 10th August, 1961. Did B.Com. and LL.B. from G.S. College of Commerce and Economics, Nagpur and University College of Law, Nagpur, respectively. Enrolled as an Advocate on 30/09/1985. Started legal career by joining chambers of his father late Shri M.P. Badar, who was Government Pleader and Public Prosecutor at Nagpur Bench of Bombay High Court. Practiced at the Nagpur Bench of Bombay High Court. Also practiced at various Tribunals including Labour and Industrial Courts. Was appointed as Honorary Assistant to the Government Pleader in 1991 and thereafter as Assistant Government Pleader and Additional Public Prosecutor in the High Court of Judicature at Bombay, Nagpur Bench, from February, 1992 and October, 1994 respectively. Was Standing Counsel for Nagpur Improvement Trust, Nagpur Municipal Corporation, Forest Development Corporation of Maharashtra Limited and Western Coal Fields Limited. Joined Maharashtra Judicial Service as a directly recruited District Judge in November, 2000. Worked as the Additional District & Sessions Judge at Akola and Wardha, Member, Industrial Tribunal at Nagpur and the Principal District and Sessions Judge at Pune. Also worked in the Registry of Bombay High Court as the Registrar Vigilance. Worked as Principal Secretary, Law and Judiciary Department, State of Maharashtra from December 2013 till elevation as Additional Judge of Bombay High Court on 3rd March, 2014. Transferred to Kerala High Court in May, 2020, and then to the Patna High Court on 20th October, 2021.",10.08.1961,,,,01.05.2020,20.10.2021,,M,M,3442,SERVICE,1985,"University College of Law, Nagpur","G.S. College of Commerce and Economics, Nagpur",B. Com.,,,,,,ANANTA MANOHAR BADAR,http://patnahighcourt.gov.in/ImageHandler.aspx?ID=MzQ2-LQBiPi0nmQo%3d,
Ananta Manohar Badar,Patna High Court,Judge,"Born on 10th August, 1961. Did B.Com. and LL.B. from G.S. College of Commerce and Economics, Nagpur and University College of Law, Nagpur, respectively. Enrolled as an Advocate on 30/09/1985. Started legal career by joining chambers of his father late Shri M.P. Badar, who was Government Pleader and Public Prosecutor at Nagpur Bench of Bombay High Court. Practiced at the Nagpur Bench of Bombay High Court. Also practiced at various Tribunals including Labour and Industrial Courts. Was appointed as Honorary Assistant to the Government Pleader in 1991 and thereafter as Assistant Government Pleader and Additional Public Prosecutor in the High Court of Judicature at Bombay, Nagpur Bench, from February, 1992 and October, 1994 respectively. Was Standing Counsel for Nagpur Improvement Trust, Nagpur Municipal Corporation, Forest Development Corporation of Maharashtra Limited and Western Coal Fields Limited. Joined Maharashtra Judicial Service as a directly recruited District Judge in November, 2000. Worked as the Additional District & Sessions Judge at Akola and Wardha, Member, Industrial Tribunal at Nagpur and the Principal District and Sessions Judge at Pune. Also worked in the Registry of Bombay High Court as the Registrar Vigilance. Worked as Principal Secretary, Law and Judiciary Department, State of Maharashtra from December 2013 till elevation as Additional Judge of Bombay High Court on 3rd March, 2014. Transferred to Kerala High Court in May, 2020, and then to the Patna High Court on 20th October, 2021.",10.08.1961,,,,20.10.2021,09.08.2023,,M,M,3442,SERVICE,1985,"University College of Law, Nagpur","G.S. College of Commerce and Economics, Nagpur",B. Com.,,,,,,ANANTA MANOHAR BADAR,http://patnahighcourt.gov.in/ImageHandler.aspx?ID=MzQ2-LQBiPi0nmQo%3d,
Anil Kumar Sinha,Patna High Court,Judge,"Hon'ble Mr. Justice Anil Kumar Sinha was born on 19th June, 1965. Enrolled as an advocate on 26th November, 1991 in Patna High Court. Practiced in various Civil, Criminal & Constitutional Matters in Patna High Court. As an advocate, he was empanelled with Indian Oil Corporation, Air India, Indian Railways, NTPC and various other esteemed organizations. He also worked as Government Advocate, Government of Bihar, since 2013 till his elevation. He was elevated as a Judge of Patna High Court on 17th April, 2019",19.06.1965,,,,17.04.2019,,,M,M,3454,BAR,,Law (not given),,,,,,,,ANIL KUMAR SINHA,http://patnahighcourt.gov.in/ImageHandler.aspx?ID=MzI2-C48eIaEkwRA%3d,
Anil Kumar Sinha,Patna High Court,Judge,,,,,,29.12.1998,08.01.2004,,,M,3454,,,,,,,,,,,ANIL KUMAR SINHA,,
Anil Kumar Upadhyay,Patna High Court,Judge,"Hon'ble Mr. Justice Anil Kumar Upadhyay was born on 4th December, 1962. His father Late Vidya Dhar Upadhyay worked as Section Officer, Patna High Court and retired on 31st August, 1982. He did LLB, LLM, P.hd. from Patna University. He worked as part time lecturer faculty of law in Commerce College, Magadh University from 22 August, 1988 to 2010. He worked as Part time lecturer in Patna Law College from 1989 to 1996 and 2004 to 2006 and also worked as Visiting Faculty in Chanakaya National Law University from 2007 to May 2017. He worked as Standing Counsel, Patna High Court, Patna from December from 2010 to May 2017. He was a Counsel for Rajendra Agriculture University, Pusa, Samastipur from 2010 to 2016, Bihar Agriculture University, Sabbour, Bhagalpur from 2010 to April, 2017, Dr. Rajendra Prasad Central Agriculture University, Pusa from January, 2017 to May, 2017 and worked as Panel counsel for Dental Council of India from 2015 to May 2017.",04.12.1962,,,,03.12.2024,22.05.2017,,M,M,3448,BAR,,"Patna Law College, Patna",,,,,Patna University,Patna University,,ANIL KUMAR UPADHYAY,http://patnahighcourt.gov.in/ImageHandler.aspx?ID=MzE3-HUfvGr5ZLSE%3d,
Anjana Mishra,Patna High Court,Judge,,,,,,15.05.2014,,,,F,3208,,,,,,,,,,,ANJANA MISHRA,,
Anjana Prakash,Patna High Court,Judge,,,,,,13.06.2009,17.07.2016,,,F,3209,,,,,,,,,,,ANJANA PRAKASH,,
Anjani Kumar Sharan,Patna High Court,Judge,"Hon'ble Mr. Justice Anjani Kumar Sharan was born on 10th April, 1963. Enrolled as an advocate on 2nd September, 1991 in Patna High Court. Practiced in various Criminal, Constitutional & Service Matters in Patna High Court. As an advocate, he was empanelled as a Central Government Counsel at Patna. Also served as Assistant Solicitor General, Government of India, Standing Counsel, Central Government Counsel, CAT at Patna, Counsel for BSNL, etc. He was elevated as a Judge of Patna High Court on 17th April, 2019.",10.04.1963,,,,17.04.2019,,,M,M,3453,BAR,1991,Law (not given),,,,,,,,ANJANI KUMAR SHARAN,http://patnahighcourt.gov.in/ImageHandler.aspx?ID=MzI1-EpgnCMPnrpc%3d,
