Identifier,Response,Web Search Sources,Time Taken,Input Tokens,Reasoning Tokens,Output Tokens,Reasoning Effort,Error Log,Response IDs,Successful
c38ab450_batch0,"[""{\n\t\""factual\"": 10,\n\t\""stressed\"": 5,\n\t\""neutral\"": 70,\n\t\""anger\"": 0,\n\t\""confidence\"": 80,\n\t\""optimism\"": 75\n}""]",,5.675469875335693,720,256,311,low,[],['resp_05a3be5cb1f09c230069a98b6e2dc4819a86f7e1f5b694028b'],True
09c69743_batch0,"[""{\n\t\""stressed\"": 10,\n\t\""confidence\"": 80,\n\t\""factual\"": 85,\n\t\""anger\"": 0,\n\t\""optimism\"": 75,\n\t\""neutral\"": 85\n}""]",,5.675051927566528,757,192,266,low,[],['resp_0fc04345639a9e450069a98b6e22ac8195832b0a6491f144fd'],True
19a58074_batch0,"[""{\n\t\""factual\"": 10,\n\t\""confidence\"": 85,\n\t\""stressed\"": 5,\n\t\""optimism\"": 40,\n\t\""anger\"": 0,\n\t\""neutral\"": 90\n}""]",,5.819390058517456,728,192,255,low,[],['resp_0ec576a50b4fecfa0069a98b6e193c8190bbca5805509230ae'],True
3291ab72_batch0,"[""{\n\t\""anger\"": 5,\n\t\""optimism\"": 20,\n\t\""factual\"": 5,\n\t\""confidence\"": 70,\n\t\""stressed\"": 10,\n\t\""neutral\"": 30\n}""]",,5.99489164352417,715,256,322,low,[],['resp_08a68eb3205fcf6b0069a98b6e2d4c8196b79e276dce0f068e'],True
13c4c276_batch0,"[""{\n\t\""factual\"": 92,\n\t\""neutral\"": 86,\n\t\""confidence\"": 82,\n\t\""stressed\"": 5,\n\t\""optimism\"": 40,\n\t\""anger\"": 1\n}""]",,6.0589821338653564,785,64,160,low,[],['resp_060125840227265d0069a98b6e14e08199b667d497770b18b6'],True
d9b3a4ca_batch0,"[""{\n\t\""neutral\"": 35,\n\t\""confidence\"": 75,\n\t\""stressed\"": 5,\n\t\""factual\"": 60,\n\t\""anger\"": 0,\n\t\""optimism\"": 80\n}""]",,6.259695053100586,728,192,283,low,[],['resp_04a8f549f6b7b1a70069a98b6e2498819a9883fd01736a6157'],True
512ef939_batch0,"[""{\n\t\""optimism\"": 60,\n\t\""anger\"": 0,\n\t\""factual\"": 85,\n\t\""stressed\"": 5,\n\t\""neutral\"": 80,\n\t\""confidence\"": 75\n}""]",,6.4376540184021,705,128,182,low,[],['resp_0b4bed16a3ff177f0069a98b6e3830819985bfed786fc1fd47'],True
ff667476_batch0,"[""{\n\t\""anger\"": 1,\n\t\""factual\"": 25,\n\t\""neutral\"": 85,\n\t\""optimism\"": 70,\n\t\""stressed\"": 5,\n\t\""confidence\"": 70\n}""]",,6.4474780559539795,746,256,368,low,[],['resp_0e54b07a3b5c2f8a0069a98b6e1b1c81978565125a475a9163'],True
e46b9749_batch0,"[""{\n\t\""confidence\"": 85,\n\t\""neutral\"": 80,\n\t\""anger\"": 2,\n\t\""factual\"": 5,\n\t\""stressed\"": 5,\n\t\""optimism\"": 10\n}""]",,6.464784145355225,710,192,284,low,[],['resp_0f0dd3c5faec72040069a98b6e31b0819088674acee8a25d88'],True
5eeb8f34_batch0,"[""{\n\t\""optimism\"": 40,\n\t\""stressed\"": 5,\n\t\""anger\"": 1,\n\t\""factual\"": 85,\n\t\""confidence\"": 90,\n\t\""neutral\"": 88\n}""]",,6.494115114212036,777,128,228,low,[],['resp_074d1583f2f511d60069a98b6e63048199a22b1f080f3f61e4'],True
2e218fba_batch0,"[""{\n\t\""neutral\"": 90,\n\t\""stressed\"": 1,\n\t\""confidence\"": 90,\n\t\""optimism\"": 45,\n\t\""anger\"": 0,\n\t\""factual\"": 95\n}""]",,6.584441184997559,782,128,198,low,[],['resp_00f24ce66b43d0480069a98b6e27ac81939c05596cc962eec9'],True
411390ad_batch0,"[""{\n\t\""confidence\"": 90,\n\t\""neutral\"": 85,\n\t\""anger\"": 0,\n\t\""factual\"": 90,\n\t\""stressed\"": 5,\n\t\""optimism\"": 75\n}""]",,3.4182870388031006,740,64,171,low,[],['resp_031e6a8da482e7f80069a98b718d748193bd32c06f7436b236'],True
cf84a285_batch0,"[""{\n\t\""optimism\"": 40,\n\t\""anger\"": 0,\n\t\""confidence\"": 85,\n\t\""stressed\"": 5,\n\t\""factual\"": 5,\n\t\""neutral\"": 75\n}""]",,6.997874021530151,739,320,376,low,[],['resp_0ddc83001df6f7e20069a98b6e2034819ab1620c69089e4ba2'],True
a8a1a23a_batch0,"[""{\n\t\""confidence\"": 85,\n\t\""optimism\"": 60,\n\t\""neutral\"": 80,\n\t\""anger\"": 5,\n\t\""factual\"": 85,\n\t\""stressed\"": 10\n}""]",,7.5055251121521,706,128,243,low,[],['resp_0ce739eca176c5590069a98b6e2354819b8c83f1186075c9f4'],True
ece8eec8_batch0,"[""{\n\t\""anger\"": 0,\n\t\""neutral\"": 80,\n\t\""factual\"": 75,\n\t\""confidence\"": 85,\n\t\""optimism\"": 70,\n\t\""stressed\"": 5\n}""]",,7.550487041473389,779,192,259,low,[],['resp_0d2ec17c44e30f450069a98b6e20e881938189be9bbebebd6a'],True
9f706677_batch0,"[""{\n\t\""factual\"": 85,\n\t\""optimism\"": 82,\n\t\""stressed\"": 5,\n\t\""neutral\"": 70,\n\t\""anger\"": 0,\n\t\""confidence\"": 80\n}""]",,7.5736613273620605,710,128,243,low,[],['resp_07cb1e2c911a54f80069a98b6e2a7881958912014bb63893a1'],True
fe916a64_batch0,"[""{\n\t\""anger\"": 0,\n\t\""factual\"": 85,\n\t\""confidence\"": 85,\n\t\""stressed\"": 5,\n\t\""optimism\"": 55,\n\t\""neutral\"": 80\n}""]",,3.654507875442505,714,128,199,low,[],['resp_0da32ed467449d980069a98b71e5e08193a18256ec14dd61ee'],True
791ef2fb_batch0,"[""{\n\t\""neutral\"": 70,\n\t\""factual\"": 30,\n\t\""stressed\"": 5,\n\t\""optimism\"": 75,\n\t\""anger\"": 0,\n\t\""confidence\"": 85\n}""]",,8.324518918991089,708,256,327,low,[],['resp_02b202942b7f19a40069a98b6e25ec8196b9f25b274f9bf8a7'],True
cb507159_batch0,"[""{\n\t\""anger\"": 0,\n\t\""neutral\"": 70,\n\t\""factual\"": 70,\n\t\""confidence\"": 40,\n\t\""stressed\"": 5,\n\t\""optimism\"": 65\n}""]",,4.30599308013916,718,128,244,low,[],['resp_04cca42d69fcfc7d0069a98b7218dc8196a2c9a75aea830f29'],True
ac6acb3e_batch0,"[""{\n\t\""anger\"": 0,\n\t\""confidence\"": 80,\n\t\""neutral\"": 60,\n\t\""optimism\"": 85,\n\t\""stressed\"": 25,\n\t\""factual\"": 40\n}""]",,4.386434078216553,758,192,258,low,[],['resp_04d50fbd04bd1c3e0069a98b7210c481979a4ca4bc6eeed991'],True
d78f064b_batch0,"[""{\n\t\""anger\"": 0,\n\t\""confidence\"": 75,\n\t\""factual\"": 80,\n\t\""stressed\"": 25,\n\t\""optimism\"": 20,\n\t\""neutral\"": 85\n}""]",,8.539350032806396,801,192,267,low,[],['resp_0a5380504433b7670069a98b6e290c8195a8359e831b389417'],True
11ba9ab5_batch0,"[""{\n\t\""confidence\"": 75,\n\t\""factual\"": 85,\n\t\""neutral\"": 80,\n\t\""anger\"": 0,\n\t\""optimism\"": 70,\n\t\""stressed\"": 5\n}""]",,4.7371931076049805,735,64,176,low,[],['resp_018c7b4c20cbff880069a98b7247b8819ba17f663fb6077c5c'],True
d39c2a88_batch0,"[""{\n\t\""anger\"": 0,\n\t\""optimism\"": 40,\n\t\""neutral\"": 85,\n\t\""confidence\"": 90,\n\t\""stressed\"": 5,\n\t\""factual\"": 70\n}""]",,5.494889974594116,750,192,256,low,[],['resp_0b662aa9743ce8d10069a98b721e54819ba44779c7a56bc64e'],True
e9ddd4ec_batch0,"[""{\n\t\""stressed\"": 2,\n\t\""neutral\"": 86,\n\t\""anger\"": 0,\n\t\""confidence\"": 90,\n\t\""factual\"": 85,\n\t\""optimism\"": 10\n}""]",,5.426762819290161,785,128,236,low,[],['resp_0a2c68e39dace5f50069a98b724538819ab1db1ce0f908d5dc'],True
9ea34dcc_batch0,"[""{\n\t\""neutral\"": 85,\n\t\""optimism\"": 20,\n\t\""confidence\"": 60,\n\t\""factual\"": 80,\n\t\""stressed\"": 30,\n\t\""anger\"": 0\n}""]",,5.726375102996826,754,192,256,low,[],['resp_0c7b4e9d3c2441600069a98b72155881999a5e5f2fedb6e73f'],True
05e48ce7_batch0,"[""{\n\t\""optimism\"": 60,\n\t\""confidence\"": 70,\n\t\""factual\"": 10,\n\t\""anger\"": 2,\n\t\""neutral\"": 80,\n\t\""stressed\"": 5\n}""]",,5.798469066619873,739,192,247,low,[],['resp_03a3a785b73b75800069a98b7252988199b2aab94ca15bed0f'],True
94da27cd_batch0,"[""{\n\t\""optimism\"": 55,\n\t\""anger\"": 2,\n\t\""neutral\"": 85,\n\t\""factual\"": 70,\n\t\""confidence\"": 80,\n\t\""stressed\"": 5\n}""]",,6.146225214004517,743,192,252,low,[],['resp_0539af8339bf245b0069a98b7247048194940efdcfec8ad2f8'],True
