newspaper,date,headline,text,gabriel_econ_sentiment,EPU,state_flag,state_codes,source_file,num_art_np_day,vader_sentiment,textblob_sentiment,finbert_sentiment
ET,06/04/2026,‘Jungle Raj’: PM Slams TMC over Malda Hostage Case,"Prime Minister Narendra Modi on Sunday said the entire country was shocked by the recent incident in West Bengal’s Malda district, where seven judicial officers were held hostage by Trinamool ‘hooligans’, forcing the Supreme Court to intervene. The PM also asserted that he has full faith in ECI and that the polls will be conducted in an ‘impartial, intimidation-free manner’. ‘Just a few days ago, you saw how in Malda, judicial officers were held hostage. What kind of government and system is this, where the constitutional system itself is not safe? This is not just an example of Trinamool, but of the present state government’s maha jungle raj,’ Modi said while addressing a rally in Cooch Behar. He urged people to vote for ‘parivartan’, exercise their rights and bring about change. On polling day, he told the crowd, ‘No matter how much Trinamool goons try to intimidate you, have faith in law and order. In this election, fear will disappear and good governance and trust will be established.’",50,0,1,WB,ET-Bangalore 06-04.pdf,45,86.5,53.5,25.9
ET,06/04/2026,"Amid Welfare Push, Bidi Work Sustains Women in Malda Villages","Amid talks of women empowerment and other benefits of the Lakshmir Bhandar scheme touted by the Trinamool Congress, ET found that even in the remotest villages of West Bengal’s Malda district, women are self-employed and not solely dependent on the welfare scheme. In most houses visited in Malda’s remote parts, women roll bidis at home and have been doing it for years. One resident said bidi-making is a form of livelihood for her, while the household work and hearing-centre visits for SIR documents had made them lose money every day. Bidi-makers earn between `150 and `200 for 1,000 bidis rolled. The leaves are either procured from factories in a centralised place or from some households that collect and prepare them. In Sujapur, where name deletion in the special intensive revision of electoral rolls had people worried, the women who gathered to speak were also engaged in bidi-making. They said standing in hearing queues for hours had affected their earnings even as they continued to bind bidis every day.",46,0,1,WB,ET-Bangalore 06-04.pdf,45,73.8,57.9,50.0
ET,06/04/2026,"Siddu says PM’s Comments Timed at Polls in TN, Kerala","Chief minister Siddaramaiah on Sunday termed Prime Minister Narendra Modi’s recent assurance that southern states would not lose out in the proposed delimitation exercise as politically timed messaging ahead of upcoming assembly elections in Tamil Nadu and Kerala. He said he welcomed the Prime Minister breaking his silence on the subject, but questioned the timing and intent. Siddaramaiah stressed that the debate was not about whether the number of Lok Sabha seats would increase, but about the manner and distribution of that increase. He argued that the proposed expansion disproportionately benefits BJP-ruled or BJP-dominated states. Citing projections, Siddaramaiah said states such as Uttar Pradesh, Maharashtra, Bihar, Madhya Pradesh, Rajasthan and Gujarat were likely to see significantly higher increases in parliamentary seats compared to southern states. Even if Lok Sabha expands to 816 seats, the southern states’ share remains around 24%, he said, adding that states which had performed better on population control and governance risked being disadvantaged. He called for wider consultations and public debate before undertaking structural changes to parliamentary representation.",42,0,1,"KA,TN,KL",ET-Bangalore 06-04.pdf,45,90.0,52.7,50.0
ET,06/04/2026,Assam CM’s Wife Holds Multiple Passports: Cong,"The Congress on Sunday levelled serious allegations against Assam CM Himanta Biswa Sarma and his wife, Riniki Bhuyan Sarma. Addressing a press conference in New Delhi, Congress leader Pawan Khera claimed that documents received by the party from overseas sources indicated that the chief minister’s wife possessed three ‘active’ foreign passports, purportedly issued by the United Arab Emirates, Antigua and Barbuda, and Egypt. He questioned how an Indian citizen could allegedly hold multiple foreign passports, stating that Indian law does not permit dual citizenship. The party also alleged that overseas assets had not been disclosed in election affidavits.",50,0,1,AS,ET-Bangalore 06-04.pdf,45,90.1,45.1,21.9
ET,06/04/2026,"Rahul Attacks Sarma, Calls Him ‘Most Corrupt CM’","Congress leader Rahul Gandhi on Sunday attacked Assam chief minister Himanta Biswa Sarma, accusing him of corruption and divisive politics. Addressing a public rally in Biswanath, Gandhi alleged that Sarma is ‘the most corrupt CM in the country’ and that ‘Assam’s chief minister spreads hatred’. He said the people of Assam would one day demand accountability. Gandhi said the state belongs to figures such as Mahapurush Srimanta Sankardeva, Bharat Ratna Bhupen Hazarika, Gopinath Bordoloi, Azan Fakir, former CM Tarun Gogoi and singer Zubeen Garg. He added that Zubeen devoted his life to uniting Assam and never spread hatred. Gandhi further alleged that the state is being run for the benefit of a few corporates, with land being taken from locals and handed over to business groups. He promised Rs 450 as daily wages to tea workers and Scheduled Tribe status to six communities, saying earlier promises by the current government were never fulfilled.",50,0,1,AS,ET-Bangalore 06-04.pdf,45,88.4,48.3,14.1
ET,06/04/2026,Pooled Natgas of 7mmscmd Flows to Priority Sectors,"As the Iran war triggered a supply crunch, the government plans to supply about 7 million metric standard cubic meters per day of natural gas to city gas distributors, fertiliser makers and other users via a pooling mechanism. The supplies will be at around $11.60 per metric million British thermal unit, people familiar with the matter said. Last month, after Iran’s attack on Qatar’s LNG facility and the effective closure of the Strait of Hormuz slashed India’s natural gas imports by about 60%, the government issued an order to regulate supplies. It drew up a priority ladder of gas-consuming sectors and tasked state-run Gail with overseeing the diversion of gas from non-priority to priority users. All diverted volumes were to be pooled and priced uniformly by the oil ministry. After consultations with producers and consumers and an assessment of available supplies and costs, a pool of about 7 mmscmd has been formed. Imports account for roughly half the volumes, with the rest largely sourced from Vedanta and deep-water output by Reliance Industries and ONGC. Gail, which will administer the supplies, is also expected to levy a charge of $0.20 per mmbtu on top of the gas price, a move consumers are pushing back against. About 2.5 mmscmd of the pooled volume is likely to go to city gas distributors, with the remainder allocated to fertiliser makers and other users.",38,0,0,NA,ET-Bangalore 06-04.pdf,45,51.3,55.5,74.2
ET,06/04/2026,TPG to Buy NIIF Green Infra NBFC Aseem for `4000 cr,"US buyout group TPG, along with consortium partners ICICI Bank and GIC of Singapore, has agreed to buy non-bank lender Aseem Infrastructure Finance Ltd for `4,000 crore as it looks to accelerate green funding and investment initiatives in the country, said people aware of the matter. The three sponsors of the NBFC will exit as part of this deal. A binding agreement will be finalised over the next few days. Aseem Infrastructure was set up six years ago to provide debt funding for long-term core sector projects with a special emphasis on clean energy. Its sponsors include the National Investment and Infrastructure Fund II, the government of India and Japan’s Sumitomo Mitsui Banking Corp. The acquirers will take over the entire team, the `1,800 crore loan book as well as the Aseem brand. TPG had earmarked a $1 billion initial investment for a first-of-its-kind green financing platform in India under the aegis of TPG Rise Climate to help enterprises transition from legacy fossil fuel-based systems to greener options. Since then, it has roped in ICICI Bank and GIC of Singapore as co-investors for this yet-to-be-named platform.",68,0,0,NA,ET-Bangalore 06-04.pdf,45,96.1,52.1,50.0
ET,06/04/2026,Platforms Brace for Impact as Gig Workforce Returns Home,"Quick commerce, ecommerce and instant home service platforms are facing gig worker shortages as delivery riders and helpers return to their hometowns amid elections and the harvest season. According to industry executives, the daily active gig workers on quick commerce platforms are currently running 10-12% below early-2026 levels. The timing is particularly damaging. Typically, quick commerce as well as food delivery platforms see an uptick in demand during this period due to IPL matches. Order fulfilment for quick grocery delivery services in Delhi-NCR, Bengaluru and Mumbai is being delayed, a senior executive said, while slots on platforms like Snabbit, Urban Company and Pronto are going dark in several pockets. Platforms are offering higher incentives and ramping up hiring, but the supply-side squeeze is arriving ahead of schedule. Pronto founder Anjali Sardana said the segment expects some impact on supply due to the West Bengal elections, especially in northern cities where the company has some professionals from the state. Amid the workforce shortage in cities and macroeconomic uncertainties, demand for gig workers, especially delivery riders, could rise 25% in the coming months, according to hiring platforms.",40,0,0,NA,ET-Bangalore 06-04.pdf,45,17.6,53.6,1.4
ET,06/04/2026,Semicon Mission 2.0 Set to Prioritise Memory Chips,"India Semiconductor Mission 2.0 will prioritise advanced memory packaging focused on high bandwidth memory, officials told ET. ISM 1.0 was launched in 2021 as a push toward semiconductor manufacturing, packaging and design units. While the government has kept the public focus of the `1-lakh crore second phase on establishing the full semiconductor ecosystem, officials said potential investment applications for high bandwidth memory production will be given precedence. Critical for running artificial intelligence data centres, HBM prices have soared due to a multi-year global demand supercycle. Officials said there are also concerns over increasing technology controls by major economies and sudden economic shocks that may impact industry timelines. They said it is evident that HBM technology is crucial for the AI ecosystem and India intends to enter the manufacturing value chain. But manufacturing remains concentrated among a few players globally, with SK Hynix, Samsung and Micron dominating the market. Micron’s $2.5-billion plant in Gujarat’s Sanand, inaugurated last month, converts imported advanced DRAM and NAND wafers into finished memory chips and SSDs, but is not planned to host HBM manufacturing yet.",72,0,0,NA,ET-Bangalore 06-04.pdf,45,65.9,52.6,50.0
ET,06/04/2026,"Five Things About ‘Maven’, AI at the Heart of US War Machine","Project Maven is the Pentagon’s flagship artificial intelligence programme, launched in 2017 as a narrow experiment to help military analysts make sense of the torrent of drone footage pouring in from conflict zones. It has since evolved into an AI-assisted targeting and battlefield management system that accelerates the kill chain from detection to destruction. Maven functions like both the air traffic control of battle and its cockpit, rapidly fusing sensor data, troop intelligence, satellite imagery and force deployment information to determine the best course of action for striking a target. The emergence of ChatGPT broadened use of the technology, allowing more natural-language interaction with the system. Google was Maven’s original AI contractor, but withdrew after employee protests in 2018. In 2024, Palantir stepped into the space Google vacated and is now Maven’s primary technology contractor. US strikes have been carried out at a sustained pace, and Maven’s ability to speed up the targeting and firing process is seen as central. A recent Pentagon demonstration described how Maven turns an observed threat into a targeting workflow and presents commanders with options.",50,0,0,NA,ET-Bangalore 06-04.pdf,45,8.4,59.0,50.0
ET,06/04/2026,Indian IT Cos Likely to Dodge West Asia War Volleys in Q4,"While the impact of the ongoing West Asia war has been limited for Indian IT service companies so far, analysts in their fourth-quarter preview have highlighted some pockets of potential weakness for the industry. HDFC Institutional Research said the ongoing Middle East crisis poses a moderate short-term risk to Indian IT firms with exposure to regional energy and utility clients, as geopolitical uncertainty may delay discretionary spending and new projects while raising operational concerns regarding infrastructure resilience, travel and employee safety. Companies such as Tata Consultancy Services, Infosys, HCLTech, Wipro and Birlasoft derive 6-17% of their revenue from the energy and utilities sector, but the impact on existing projects is expected to remain contained because delivery operations are anchored offshore in India and mission-critical programmes typically persist despite regional volatility. Analysts across brokerages estimate a muted quarter for the IT services sector despite currency tailwinds. Tech Mahindra and L&T Technology Services face some direct impact from the regional situation, while other companies may see engagement delays and slower discretionary spending.",42,0,0,NA,ET-Bangalore 06-04.pdf,45,34.6,49.4,2.0
ET,06/04/2026,Agentic Harness: Why AI Magic is in the Plumbing,"Indian enterprises are betting big on AI agents, or software that autonomously books meetings, files reports and executes multi-step business workflows. Beneath the buzz lies the agentic harness, the software framework that wraps around an AI model and gives it the ability to act and not just respond. AI models can operate independently for simple one-step tasks, but they cannot function autonomously on complex, long-running or multi-step tasks. They cannot remember what happened the day before, send an email, or recover from a crash mid-task. The harness is the software layer that handles everything the model itself cannot. Open-source project OpenClaw functions as an agent harness, enabling large language models with scheduling capabilities, browser control, persistent memory and messaging channels. Anthropic’s Claude Code is another example, while Microsoft has built AutoGen for conversational multi-agent systems. In India, Hexaware launched Agentverse this year, but investors and analysts say there is still a gap in the ecosystem, with many thin wrappers calling themselves agentic.",55,0,0,NA,ET-Bangalore 06-04.pdf,45,26.6,52.6,50.0
ET,06/04/2026,"Record Run for Co, LLP Floats in FY26 Despite a Bump in March","India saw a record number of company and limited liability partnership registrations in FY26, though growth in the final month was the slowest amid uncertainty over the West Asia conflict, which dampened investor sentiment, a senior official said. Registration of companies rose to 247,658, up by 37% from 2024-25, while that of LLPs shot up by 40% to 95,965. This growth, however, tapered in March, with company incorporations showing only a 6% increase to 22,330, while LLP registrations were 9% higher at 9,489. Data showed that the number of foreign companies incorporated in India jumped to 96 in 2025-26 from 57 in the previous year. The war in West Asia has pushed up global energy prices and disrupted supply chains, posing risks to economic growth worldwide, including in India, a major energy importer. Officials said registrations may rise in 2026-27, albeit at a muted pace unless the conflict stretches beyond the June quarter and forces investors to pause their plans.",58,0,0,NA,ET-Bangalore 06-04.pdf,45,48.6,53.7,97.5
ET,06/04/2026,Chouhan Takes Stock of Crop Losses from Heavy Rainfall,"Agriculture minister Shivraj Singh Chouhan on Sunday took cognisance of heavy rainfall and hailstorm damage across several states, directing ministry officials to conduct a comprehensive review of crop losses and coordinate with state authorities to gather ground-level information. The minister is scheduled to hold discussions with the agriculture ministers of the affected states later in the day over the extent of crop damage. Chouhan assured farmers that the Modi government stood with them in this hour of crisis. The India Meteorological Department warned that a fresh Western Disturbance will affect Northwest India from April 7, triggering widespread rain, thunderstorms and hailstorms across Jammu and Kashmir, Himachal Pradesh, Uttarakhand, Punjab, Haryana, Delhi and Uttar Pradesh through April 10. Hailstorms are forecast over several states, while heavy rainfall warnings remain in force in parts of the south and northeast. Agrometeorological advisories urged farmers to deploy hail nets, harvest matured crops without delay, drain excess water from fields and protect livestock and stored produce.",32,0,0,NA,ET-Bangalore 06-04.pdf,45,6.2,49.3,50.0
ET,06/04/2026,"Insolvency Cases: NeSL Enabling Real-time Access to Digital Debt, Claims Data","Information utility National E-Governance Services Ltd is enabling real-time access of digital records of default for adjudicating authorities to quickly retrieve debt and claims data of individuals and entities in insolvency cases. Records of default have evidentiary value in the process of insolvency resolution, NeSL managing director Debajyoti Ray Chaudhuri told ET. He said the latest amendments to the Insolvency and Bankruptcy Code transform NeSL from a repository of financial information primarily accessed by financial creditors into a universal, legally mandated gateway for all insolvency proceedings. Under the recently approved IBC Amendment Bill, a record of default with the information utility and furnished alongside a financial institution’s application will be considered sufficient for the adjudicating authority to ascertain existence of default, removing ambiguity and eliminating the need for additional evidentiary material. Chaudhuri said the move will reinforce trust in the insolvency mechanism and facilitate faster authentication of records.",63,0,0,NA,ET-Bangalore 06-04.pdf,45,88.6,57.2,50.0
ET,06/04/2026,Government Steps up Sale of 5-kg Cylinders,"Sale of small 5-kg LPG cylinders, available across the counter at LPG distributorships on showing valid ID proofs, has been stepped up, with about 6.6 lakh bottles sold since March 23 as the government ramps up supplies to meet demand. Unlike the subsidised domestic 14.2-kg cylinders, the 5-kg bottles are priced at market rates and do not require any address proof for procurement from a nearby LPG distributorship. The oil ministry said more than 90,000 5-kg cylinders were sold on April 4 alone. It said there are no reports of shortages at LPG distributor points, with more than 51 lakh domestic cylinders delivered during the day and online bookings accounting for 95% of total demand. Authorities have intensified action against hoarding and black marketing, seizing over 50,000 cylinders since March and issuing more than 1,400 show-cause notices to LPG distributors, with 36 dealerships suspended.",45,0,0,NA,ET-Bangalore 06-04.pdf,45,7.6,57.9,50.0
